LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Descriptions
DNK,SUICIDE,TOT,SUM,PER,A,eighteen,9.7,https://www.bbc.com/news/world-europe-17930409. The fluctuating rate of suicide rates may be due to these events: 1959 - Denmark joins European Free Trade Association. 1973 - Denmark joins the European Economic Community. 1985 - Legislation passed banning construction of nuclear power plants in Denmark. 2000 - Danes reject adoption of the euro as their national currency by 53% to 47%. 2013 - Schools shut for a month because of an industrial dispute involving teachers' unions,
FIN,SUICIDE,TOT,SUM,PER,A,sixty,25,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyOne,25.5,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyTwo,26.1,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyThree,23.2,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyFour,24.6,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyFive,23.8,
FIN,SUICIDE,TOT,SUM,PER,A,sixtySix,23.2,
FIN,SUICIDE,TOT,SUM,PER,A,sixtySeven,24,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyEight,25.9,
FIN,SUICIDE,TOT,SUM,PER,A,sixtyNine,27.4,
FIN,SUICIDE,TOT,SUM,PER,A,seventy,24.3,
FIN,SUICIDE,TOT,SUM,PER,A,seventyOne,24.2,
FIN,SUICIDE,TOT,SUM,PER,A,seventyTwo,26.5,
FIN,SUICIDE,TOT,SUM,PER,A,seventyThree,25.7,
FIN,SUICIDE,TOT,SUM,PER,A,seventyFour,26.8,
FIN,SUICIDE,TOT,SUM,PER,A,seventyFive,26.9,
FIN,SUICIDE,TOT,SUM,PER,A,seventySix,27.1,
FIN,SUICIDE,TOT,SUM,PER,A,seventySeven,27.3,
FIN,SUICIDE,TOT,SUM,PER,A,seventyEight,27.4,
FIN,SUICIDE,TOT,SUM,PER,A,seventyNine,26.1,
FIN,SUICIDE,TOT,SUM,PER,A,eighty,26.5,
FIN,SUICIDE,TOT,SUM,PER,A,eightyOne,24.7,
FIN,SUICIDE,TOT,SUM,PER,A,eightyTwo,25,
FIN,SUICIDE,TOT,SUM,PER,A,eightyThree,25,
FIN,SUICIDE,TOT,SUM,PER,A,eightyFour,26.2,
FIN,SUICIDE,TOT,SUM,PER,A,eightyFive,25.4,
FIN,SUICIDE,TOT,SUM,PER,A,eightySix,27.6,
FIN,SUICIDE,TOT,SUM,PER,A,eightySeven,28,
FIN,SUICIDE,TOT,SUM,PER,A,eightyEight,28.9,
FIN,SUICIDE,TOT,SUM,PER,A,eightyNine,29.1,
FIN,SUICIDE,TOT,SUM,PER,A,ninety,30.6,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyOne,30.2,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyTwo,28.9,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyThree,27.8,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyFour,27.4,
FIN,SUICIDE,TOT,SUM,PER,A,ninetyFive,27.3,
FIN,SUICIDE,TOT,SUM,PER,A,ninetySix,24.3,
